Country,Capital City,Latitude,Longitude,Population,Capital Type
Turks and Caicos Islands,Cockburn Town,21.4612,-71.1419,5447,Capital
Tuvalu,Funafuti,-8.5189,179.1991,7042,Capital
Uganda,Kampala,0.3163,32.5822,2986352,Capital
Ukraine,Kyiv (Kiev),50.4454,30.5186,2956706,Capital
United Arab Emirates,Abu Zaby (Abu Dhabi),24.4648,54.3618,1419699,Capital
United Kingdom,London,51.5085,-0.1257,9046485,Capital
United Republic of Tanzania,Dodoma,-6.1722,35.7395,261645,Capital
United States of America,"Washington, D.C.",38.8951,-77.0364,5206593,Capital
United States Virgin Islands,Charlotte Amalie,18.3419,-64.9307,52322,Capital
Uruguay,Montevideo,-34.8335,-56.1674,1736989,Capital
Uzbekistan,Tashkent,41.2647,69.2163,2463969,Capital
Vanuatu,Port Vila,-17.7338,168.3219,52690,Capital
Venezuela (Bolivarian Republic of),Caracas,10.4880,-66.8792,2934560,Capital
Viet Nam,Hà Noi,21.0245,105.8412,4282738,Capital
Wallis and Futuna Islands,Matu-Utu,-13.2816,-176.1745,1025,Capital
Western Sahara,El Aaiún,27.1532,-13.2014,232388,Capital
Yemen,Sana'a',15.3531,44.2078,2779317,Capital
Zambia,Lusaka,-15.4134,28.2771,2523844,Capital
Zimbabwe,Harare,-17.8294,31.0539,1515016,Capital